Pérdidas,CP UNIDADES,Costo M$,Dda. SING,Gen. SING,ANDES SOLAR,ANG1,ANG2,CAVA,CCR1 (Carbón),CHAP,CTA,CTH,CTM1 (Carbón),CTM2 (Carbón),EÓLICA VALLE DE LOS VIENTOS,LA HUAYCA II,MARIA ELENA FV,MHAH,MHT2,NTO1 (Carbón),NTO2 (Carbón),PAM,PARQUE SOLAR FINIS TERRAE,PAS2,PAS3,SOLAR JAMA 1,SOLAR JAMA 2,TG3 (Diesel),TGTAR,U12 (Carbón),U13 (Carbón),U14 (Carbón),U15 (Carbón),U16-TG + U16-TV,UG1 (HFO),UG2 (HFO),UG3 (HFO),UG4 (HFO),UG5 (HFO),UG6 (HFO),RES_GIRO_UTIL,RES_PRONTA,RES_DETENIDA_CP,RES.PRIMARIA,GEN. EN PRUEBAS,GENERACION AES GENER,GENERACION ANGAMOS,GENERACION CELTA,GENERACION ENGIE,GENERACION ENORCHILE,GENERACION EQUIPOS DE GENERACION,GENERACION GASATACAMA,GENERACION HORNITOS,TG3 (Gas Natural),AGB,CTM3-TG + CTM3-TV,GMAR,INACAL,MIMB (Diesel + Fuel Oil),TG2,ZOFRI_13,ZOFRI_2-5,ZOFRI_6,ZOFRI_7-12,M1AR,M2AR,SUIQ,TG1B + 0.5 TV1C (Diesel),TG2A + 0.5 TV2C (Diesel),TG2A + TG2B + TV2C (Diesel),TG2B + 0.5 TV2C (Diesel),TG1,CTTAR (Carbón),ZOFRI_1,CCR2 (Carbón),KELAR TG1 (Gas Natural),PARQUE SOLAR PAMPA CAMARONES,TG1A + 0.5 TV1C (Diesel),KELAR TG2 (Gas Natural)
38,211,33.12,1930,2179,18.5,267.5,271.6,1.8,150,1,100,100,0,90,1.9,24.8,54.4,1,1,114.9,131.9,17,112.6,6.3,13.2,25.5,18.5,0,0,0,0,75,75,124,0,0,0,0,0,0,352.1,439.9,619.7,125.2,0,265.4,539.1,0,370.6,117.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,211,31.04,1925.4,2173.4,18.7,207.3,271.6,1.8,150,1,100,100,0,90,7.4,23.9,54.5,1,1,74.2,131.9,17,113.8,6.4,13.1,25.6,18.5,0,0,0,0,75,75,124,0,0,0,0,0,0,453,339,607.2,125.2,0,224.7,478.9,0,370.7,118.1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,211,30.4,1921.2,2168.2,18.8,185.3,271.6,1.9,150,1,100,100,0,90,25.8,24.7,55.4,1,1,65,131.9,17,119.8,6.3,13,25.6,18.5,0,0,0,0,75,75,124,0,0,0,0,0,0,484.2,307.8,619.7,125.2,0,215.7,456.9,0,370.6,118.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,211,30.17,1930.4,2177.4,18.9,174,271.6,1.9,150,2,100,100,0,90,47.6,22.8,55.9,1,1,65,131.9,17,118.2,6.3,13.1,25.8,18.7,0,0,0,0,75,75,124,0,0,0,0,0,0,495.5,296.5,632.2,125.2,0,215.8,445.6,0,371.7,119.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,206,33.43,1940.8,2182.8,18.7,267.5,271.6,1.9,150,2,100,100,0,90,64.2,19.1,54.5,1,1,132.9,131.9,17,112.6,6.4,13.3,25.8,18.7,0,0,0,0,75,75,124,0,0,0,0,0,0,334.1,390.9,632.2,125.2,0,283.5,539.1,0,371.7,118.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,206,34.08,1945.4,2186.4,16.1,267.5,271.6,1.9,150,2,128,100,0,90,72.4,13.5,45.8,1,1,135.3,131.9,17,101.8,6.2,12.9,22.9,16.6,0,0,0,0,75,75,124,0,0,0,0,0,0,303.7,421.3,632.2,125.2,0,283.3,539.1,0,370,104.4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,206,36.45,1956.4,2200.4,9.2,267.5,271.6,1.9,150,5,164.6,131.5,0,90,73.9,5.8,25.8,1,1,135.3,131.9,17,59.4,4.1,8.5,13.9,10.1,0,0,0,0,75,116,124,0,0,0,0,0,0,194.6,520.4,632.2,125.2,0,276.4,539.1,0,413.4,62.4,0,0,131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,206,37.23,1979.4,2229.4,0.8,267.5,271.6,3.1,133,10,164.6,165.1,0,90,70.1,0.3,2.8,1,1,135.3,131.9,17,5.7,0.2,0.4,1.3,1,0,0,0,0,76,116,135.4,0,0,0,0,0,0,258,674.4,632.2,125.2,0,268,539.1,0,427.8,5.7,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,206,38.95,2017.2,2269.2,0,267.5,271.6,3.1,133,10,164.6,165.1,0,90,57.7,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,0,0,82,116,194.4,0,0,0,0,0,0,258,739.4,632.2,125.2,0,267.2,539.1,0,492.4,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,206,40.52,2055.4,2310.4,0,267.5,271.6,3.1,133,10,164.6,165.1,0,90,40.1,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,0,0,82,116,253.2,0,0,0,0,0,0,258,798.2,632.2,125.2,0,267.2,539.1,0,551.2,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
